wav_path	text	src_path
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00010.wav	마지막 질문은 영상으로 준비했거든요 만나보시죠	/nas03/data_audio/035.방송콘텐츠_한국어-아시아어_통·번역_음성_데이터/01-1.정식개방데이터/Training/01.원천데이터/TS_out/L01_L02/C05/C03024/U0405900.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00011.wav	엄마를 도와드려요	/nas03/data_audio/003.자유대화 음성(소아, 유아)/Training/[원천]01.AI챗봇_8/소아남여_소아남여6002_M_1577791044-0_4_충청_실내/소아남여_소아남여6002_M_1577791044-0_4_충청_실내_61102.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00012.wav	그때도 재수가 영 없어가지고	/nas03/data_audio/186.복지_분야_콜센터_상담데이터/01.데이터/1.Training/원천데이터/TS1_01.대학병원/01.대학병원/03.민원/04.응급실불만/HOS0005433/HOS34000543352B043.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00013.wav	됐다 표 나왔어	/nas03/data_audio/003.자유대화 음성(소아, 유아)/Training/[원천]3.스튜디오_1/소아남여_소아남여05_F_CSE00_10_수도권_녹음실/소아남여_소아남여05_F_CSE00_10_수도권_녹음실_09525.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00014.wav	네 카드 전체 취소 도와드릴게요	/nas03/data_audio/007.저음질_전화망_음성인식_데이터/wav/training/D04/J19/S021409/0005.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00015.wav	당시 서울	/nas03/data_audio/010.회의_음성_데이터/Training/D21/G02/S000318/000052.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00016.wav	자꾸 어깨 받침이 빠져	/nas03/data_audio/003.자유대화 음성(소아, 유아)/Training/[원천]01.AI챗봇_4/소아남여_소아남여06_F_1596741971-0_10_수도권_실내/소아남여_소아남여06_F_1596741971-0_10_수도권_실내_10052.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00017.wav	심 봉사는 딸을 보내고 마음이 편하지 않았습니다	/nas03/data_audio/133.감성 및 발화 스타일 동시 고려 음성합성 데이터/01-1.정식개방데이터/Training/01.원천데이터/TS_구연체_156/F-S1-Q-156-0411.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00018.wav	어떤 점이	/nas03/data_audio/001.자유대화 음성(일반남여)/Training/[원천]2.음성수집도구_1/일반남여_일반통합01_F_angel6531_22_기타_실내/일반남여_일반통합01_F_angel6531_22_기타_실내_02502.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00019.wav	새끼 고양이도 본 거 같은데	/nas03/data_audio/003.자유대화 음성(소아, 유아)/Training/[원천]01.AI챗봇_2/소아남여_소아남여03_M_1600251575-1_9_수도권_실내/소아남여_소아남여03_M_1600251575-1_9_수도권_실내_05871.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00020.wav	시내 방면으로요	/nas03/data_audio/007.저음질_전화망_음성인식_데이터/wav/training/D02/J12/S003897/0011.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00021.wav	그래서 매우 흥미롭습니다	/nas03/data_audio/010.회의_음성_데이터/Training/D21/G02/S000243/000154.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00022.wav	네 맞습니다	/nas03/data_audio/012.상담음성데이터/Training/[원천]KtelSpeech_train_D61_wav_0/D61/J92/S00008248/0025.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00023.wav	왜 그걸 왜 버려	/nas03/data_audio/001.자유대화 음성(일반남여)/Training/[원천]2.음성수집도구_2/일반남여_일반통합08_M_moansea2_59_전라_실내/일반남여_일반통합08_M_moansea2_59_전라_실내_10398.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00024.wav	그럼요	/nas03/data_audio/186.복지_분야_콜센터_상담데이터/01.데이터/1.Training/원천데이터/TS3_03.정신건강복지센터/03.정신건강복지센터/01.정신건강상담/01.조현병/MEN0004466/MEN11000446642A031.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00025.wav	나는 외동아들이야	/nas03/data_audio/003.자유대화 음성(소아, 유아)/Training/[원천]01.AI챗봇_5/소아남여_소아남여09_M_1596733525-0_8_수도권_실내/소아남여_소아남여09_M_1596733525-0_8_수도권_실내_16349.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00026.wav	로또 자동 번호 생성해줘	/nas03/data_audio/006.명령어 음성(노인남녀)/Training/[원천]1.AI비서_원천_6_명령어(노인)_training/script1_o_0062/script1_o_0062-13351-02-01-PCO-F-08-A.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00027.wav	그런 문제가 있다고 생각합니다	/nas03/data_audio/010.회의_음성_데이터/Training/D20/G02/S000443/000244.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00028.wav	기차 요금 확인해줘	/nas03/data_audio/006.명령어 음성(노인남녀)/Training/[원천]4.비정형_원천_2_명령어(노년)_training/zzpw2719_1-674309(2)-02-99-HSJ-F-08-A.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00029.wav	이것과 이것이 뭐 어떻게요	/nas03/data_audio/137.한국어_대학_강의_데이터/01-1.정식개방데이터/Training/01.원천데이터/TS_out/edu/chil/C00029/U00036.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00030.wav	언니가 집어서 데려다줘	/nas03/data_audio/003.자유대화 음성(소아, 유아)/Training/[원천]3.스튜디오_1/소아남여_소아남여08_M_BMC00_10_수도권_녹음실/소아남여_소아남여08_M_BMC00_10_수도권_녹음실_14087.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00031.wav	다른 사람들 말하는데 우리는 껍질 벗겨놓고 먹잖아요	/nas03/data_audio/002.자유대화 음성(노인남녀)/Training/[원천]1.AI챗봇_2/노인남여_노인대화15_M_1527572939_67_강원_실내/노인남여_노인대화15_M_1527572939_67_강원_실내_19495.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00032.wav	네 천천히 확인하세요	/nas03/data_audio/186.복지_분야_콜센터_상담데이터/01.데이터/1.Training/원천데이터/TS2_02.광역이동지원센터/02.광역이동지원센터/03.민원/04.이용제한/MOB0000931/MOB34000093142B011.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00033.wav	경기 내용을 보면 우리 팀이 상대 팀보다 좋거든요	/nas03/data_audio/133.감성 및 발화 스타일 동시 고려 음성합성 데이터/01-1.정식개방데이터/Training/01.원천데이터/TS_중계체_036/S-YX-G-036-0373.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00034.wav	동생이랑 싸워서 화가 났어	/nas03/data_audio/135.명령어_인식을_위한_소음_환경_데이터/Training/01.원천데이터/TS_01.다화자_소음_환경_003.가정환경_02.근거리/B-M2578M-M-t03dC-NUNU-M440483-N.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00035.wav	지금 전원 연결된 플러그 무슨 방에 있는 거야	/nas03/data_audio/008.차량_내_대화_및_명령어_데이터/01.데이터/1.Training/원천데이터/4.카투홈_원천_3_명령어(차량)_training/차량/training/카투홈/3/ED_0043/ED_0043-10143-04-06-LHY-F-07-A.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00036.wav	생일 축하 노래 부르자	/nas03/data_audio/003.자유대화 음성(소아, 유아)/Training/[원천]01.AI챗봇_7/소아남여_소아남여3002_M_1592883729-0_6_경상_실내/소아남여_소아남여3002_M_1592883729-0_6_경상_실내_55817.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00037.wav	아 여보세요	/nas03/data_audio/007.저음질_전화망_음성인식_데이터/wav/training/D01/J04/S002451/0002.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00038.wav	점심에 국 어떤 거 먹는지 궁금해	/nas03/data_audio/135.명령어_인식을_위한_소음_환경_데이터/Training/01.원천데이터/TS_01.다화자_소음_환경_003.가정환경_02.근거리/B-M6041M-M-t03dC-NUNU-M410766-N.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00039.wav	알겠습니다 압축 파일 받아서 필요한 것만 남기고 삭제해야겠네요	/nas03/data_audio/012.상담음성데이터/Training/[원천]KtelSpeech_train_D60_wav_1/D60/J91/S00010778/0010.wav
